movie_key,source_relpath,action,category,destination_relpath,status,reason
tt7286456_Joker,tt7286456_Joker/logo.png,QUARANTINE,IMAGE_ASSET,tt7286456_Joker/logo.png,PLANNED,safe cleanup category
tt7286456_Joker,tt7286456_Joker/poster.jpg,QUARANTINE,IMAGE_ASSET,tt7286456_Joker/poster.jpg,PLANNED,safe cleanup category
tt7286456_Joker,tt7286456_Joker/thumb.jpg,QUARANTINE,IMAGE_ASSET,tt7286456_Joker/thumb.jpg,PLANNED,safe cleanup category
tt7349662_BlacKkKlansman,tt7349662_BlacKkKlansman/黑色党徒.BlacKkKlansman.2018.HD720P.中英双字.mp4,RENAME,PRIMARY_VIDEO,tt7349662_BlacKkKlansman/tt7349662_BlacKkKlansman.mp4,PLANNED,canonical primary filename
tt7653254_MarriageStory,tt7653254_MarriageStory/婚姻故事 Marriage Story 1080p remux (2019).mkv,RENAME,PRIMARY_VIDEO,tt7653254_MarriageStory/tt7653254_MarriageStory.mkv,PLANNED,canonical primary filename
tt7653254_MarriageStory,tt7653254_MarriageStory/clearlogo.png,QUARANTINE,IMAGE_ASSET,tt7653254_MarriageStory/clearlogo.png,PLANNED,safe cleanup category
tt7653254_MarriageStory,tt7653254_MarriageStory/fanart.jpg,QUARANTINE,IMAGE_ASSET,tt7653254_MarriageStory/fanart.jpg,PLANNED,safe cleanup category
tt7653254_MarriageStory,tt7653254_MarriageStory/movie.nfo,QUARANTINE,RELEASE_METADATA,tt7653254_MarriageStory/movie.nfo,PLANNED,safe cleanup category
tt7653254_MarriageStory,tt7653254_MarriageStory/poster.jpg,QUARANTINE,IMAGE_ASSET,tt7653254_MarriageStory/poster.jpg,PLANNED,safe cleanup category
tt7653254_MarriageStory,tt7653254_MarriageStory/婚姻故事 Marriage Story 1080p remux (2019).nfo,QUARANTINE,RELEASE_METADATA,tt7653254_MarriageStory/婚姻故事 Marriage Story 1080p remux (2019).nfo,PLANNED,safe cleanup category
tt8291806_PainandGlory,tt8291806_PainandGlory/痛苦Y荣耀.2019   720P.西班牙语中字.mp4,RENAME,PRIMARY_VIDEO,tt8291806_PainandGlory/tt8291806_PainandGlory.mp4,PLANNED,canonical primary filename
tt8721424_TickTickBoom,"tt8721424_TickTickBoom/tick, tick...BOOM!.mp4",RENAME,PRIMARY_VIDEO,tt8721424_TickTickBoom/tt8721424_TickTickBoom.mp4,PLANNED,canonical primary filename
tt8999762_TheBrutalist,tt8999762_TheBrutalist/The.Brutalist.2024.1080p.WEBRip.x264.AAC5.1.mp4,RENAME,PRIMARY_VIDEO,tt8999762_TheBrutalist/tt8999762_TheBrutalist.mp4,PLANNED,canonical primary filename
tt9051908_Living,tt9051908_Living/生之欲 Living 1080p remux (2022).mkv,RENAME,PRIMARY_VIDEO,tt9051908_Living/tt9051908_Living.mkv,PLANNED,canonical primary filename
tt9051908_Living,tt9051908_Living/clearlogo.png,QUARANTINE,IMAGE_ASSET,tt9051908_Living/clearlogo.png,PLANNED,safe cleanup category
tt9051908_Living,tt9051908_Living/fanart.jpg,QUARANTINE,IMAGE_ASSET,tt9051908_Living/fanart.jpg,PLANNED,safe cleanup category
tt9051908_Living,tt9051908_Living/movie.nfo,QUARANTINE,RELEASE_METADATA,tt9051908_Living/movie.nfo,PLANNED,safe cleanup category
tt9051908_Living,tt9051908_Living/poster.jpg,QUARANTINE,IMAGE_ASSET,tt9051908_Living/poster.jpg,PLANNED,safe cleanup category
tt9051908_Living,tt9051908_Living/生之欲 Living 1080p remux (2022).nfo,QUARANTINE,RELEASE_METADATA,tt9051908_Living/生之欲 Living 1080p remux (2022).nfo,PLANNED,safe cleanup category
tt9100054_TheLostDaughter,tt9100054_TheLostDaughter/更多 更新 资源必看！！！/网站简介.png,QUARANTINE,IMAGE_ASSET,tt9100054_TheLostDaughter/更多 更新 资源必看！！！/网站简介.png,PLANNED,safe cleanup category
tt9114286_BlackPantherWakandaForever,tt9114286_BlackPantherWakandaForever/Black.Panther.Wakanda.Forever.2022.BluRay.2160p.TrueHD7.1.2Audio.H.265.10bit.HDR-DreamHD.mkv,RENAME,PRIMARY_VIDEO,tt9114286_BlackPantherWakandaForever/tt9114286_BlackPantherWakandaForever.mkv,PLANNED,canonical primary filename
tt9620292_PromisingYoungWoman,tt9620292_PromisingYoungWoman/前程似锦的女孩 1080p remux (2020).mkv,RENAME,PRIMARY_VIDEO,tt9620292_PromisingYoungWoman/tt9620292_PromisingYoungWoman.mkv,PLANNED,canonical primary filename
tt9620292_PromisingYoungWoman,tt9620292_PromisingYoungWoman/season.nfo,QUARANTINE,RELEASE_METADATA,tt9620292_PromisingYoungWoman/season.nfo,PLANNED,safe cleanup category
tt9620292_PromisingYoungWoman,tt9620292_PromisingYoungWoman/前程似锦的女孩 1080p remux (2020).nfo,QUARANTINE,RELEASE_METADATA,tt9620292_PromisingYoungWoman/前程似锦的女孩 1080p remux (2020).nfo,PLANNED,safe cleanup category
tt9770150_Nomadland,tt9770150_Nomadland/Nomadland.2020.2160p.WEB-DL.x265.8bit.SDR.DTS-HD.MA.5.1-SWTYBLZ.mkv,RENAME,PRIMARY_VIDEO,tt9770150_Nomadland/tt9770150_Nomadland.mkv,PLANNED,canonical primary filename
tt9784798_JudasAndTheBlackMessiah,tt9784798_JudasAndTheBlackMessiah/犹大与黑弥赛亚.2021.1080P.中英双字.mkv,RENAME,PRIMARY_VIDEO,tt9784798_JudasAndTheBlackMessiah/tt9784798_JudasAndTheBlackMessiah.mkv,PLANNED,canonical primary filename
tt9784798_JudasAndTheBlackMessiah,tt9784798_JudasAndTheBlackMessiah/更多 更新 资源必看！！！/网站简介.png,QUARANTINE,IMAGE_ASSET,tt9784798_JudasAndTheBlackMessiah/更多 更新 资源必看！！！/网站简介.png,PLANNED,safe cleanup category
